answer,candidate,pct
Biden,Joseph R. Biden Jr.,35.0
Sanders,Bernard Sanders,16.0
Warren,Elizabeth Warren,5.0
Harris,Kamala D. Harris,4.0
Buttigieg,Pete Buttigieg,8.0
O'Rourke,Beto O'Rourke,4.0
Booker,Cory A. Booker,3.0
Klobuchar,Amy Klobuchar,1.0
Yang,Andrew Yang,0.0
Ryan,Tim Ryan,0.0
Bullock,Steve Bullock,0.0
Castro,Julián Castro,0.0
de Blasio,Bill de Blasio,0.0
Delaney,John K. Delaney,0.0
Gabbard,Tulsi Gabbard,0.0
Gillibrand,Kirsten E. Gillibrand,0.0
Hickenlooper,John Hickenlooper,1.0
Inslee,Jay Robert Inslee,0.0
Swalwell,Eric Swalwell,0.0
Gravel,Mike Gravel,0.0
Moulton,Seth Moulton,0.0
Messam,Wayne Messam,0.0
Williamson,Marianne Williamson,1.0
Bennet,Michael F. Bennet,1.0
