answer,candidate,pct
Biden,Joseph R. Biden Jr.,35.0
Sanders,Bernard Sanders,13.0
Warren,Elizabeth Warren,21.0
Harris,Kamala D. Harris,6.0
Buttigieg,Pete Buttigieg,4.0
O'Rourke,Beto O'Rourke,2.0
Booker,Cory A. Booker,2.0
Castro,Julián Castro,1.0
Klobuchar,Amy Klobuchar,2.0
Delaney,John K. Delaney,0.0
Gabbard,Tulsi Gabbard,0.0
Williamson,Marianne Williamson,0.0
Yang,Andrew Yang,3.0
Messam,Wayne Messam,0.0
Ryan,Tim Ryan,1.0
Bennet,Michael F. Bennet,0.0
Bullock,Steve Bullock,1.0
Sestak,Joe Sestak,0.0
Steyer,Tom Steyer,1.0
