answer,candidate,pct
Biden,Joseph R. Biden Jr.,29.0
Sanders,Bernard Sanders,18.0
Warren,Elizabeth Warren,12.0
Harris,Kamala D. Harris,5.0
Buttigieg,Pete Buttigieg,4.0
O'Rourke,Beto O'Rourke,3.0
Booker,Cory A. Booker,2.0
Yang,Andrew Yang,1.0
Castro,Julián Castro,1.0
Steyer,Tom Steyer,2.0
Klobuchar,Amy Klobuchar,1.0
Ryan,Tim Ryan,1.0
de Blasio,Bill de Blasio,1.0
Delaney,John K. Delaney,1.0
Gabbard,Tulsi Gabbard,2.0
Bennet,Michael F. Bennet,2.0
Williamson,Marianne Williamson,0.0
Bullock,Steve Bullock,1.0
Messam,Wayne Messam,0.0
Sestak,Joe Sestak,1.0
