answer,candidate,pct
Biden,Joseph R. Biden Jr.,34.0
Sanders,Bernard Sanders,17.0
O'Rourke,Beto O'Rourke,8.0
Clinton,Hillary Rodham Clinton,6.0
Booker,Cory A. Booker,5.0
Buttigieg,Pete Buttigieg,4.0
Harris,Kamala D. Harris,4.0
Warren,Elizabeth Warren,3.0
Yang,Andrew Yang,2.0
Bloomberg,Michael Bloomberg,2.0
Klobuchar,Amy Klobuchar,1.0
Delaney,John K. Delaney,1.0
Hickenlooper,John Hickenlooper,1.0
Ryan,Tim Ryan,1.0
Gravel,Mike Gravel,0.0
Swalwell,Eric Swalwell,0.0
Moulton,Seth Moulton,0.0
Gabbard,Tulsi Gabbard,0.0
Gillibrand,Kirsten E. Gillibrand,0.0
Messam,Wayne Messam,0.0
Castro,Julián Castro,0.0
Williamson,Marianne Williamson,0.0
Inslee,Jay Robert Inslee,0.0
