answer,candidate,pct
Biden,Joseph R. Biden Jr.,28.0
Sanders,Bernard Sanders,14.0
Harris,Kamala D. Harris,13.0
Warren,Elizabeth Warren,9.0
Buttigieg,Pete Buttigieg,4.0
O'Rourke,Beto O'Rourke,3.0
Booker,Cory A. Booker,2.0
Castro,Julián Castro,2.0
Delaney,John K. Delaney,1.0
Gabbard,Tulsi Gabbard,1.0
Gillibrand,Kirsten E. Gillibrand,1.0
Hickenlooper,John Hickenlooper,1.0
Inslee,Jay Robert Inslee,0.0
Klobuchar,Amy Klobuchar,1.0
Williamson,Marianne Williamson,1.0
Yang,Andrew Yang,1.0
Gravel,Mike Gravel,0.0
Messam,Wayne Messam,0.0
Moulton,Seth Moulton,0.0
Ryan,Tim Ryan,1.0
Swalwell,Eric Swalwell,1.0
Bennet,Michael F. Bennet,1.0
Bullock,Steve Bullock,0.0
de Blasio,Bill de Blasio,1.0
Sestak,Joe Sestak,0.0
