answer,candidate,pct
Biden,Joseph R. Biden Jr.,32.0
Sanders,Bernard Sanders,14.0
Harris,Kamala D. Harris,10.0
Booker,Cory A. Booker,9.0
O'Rourke,Beto O'Rourke,9.0
Abrams,Stacey Yvonne Abrams,7.0
Buttigieg,Pete Buttigieg,7.0
Warren,Elizabeth Warren,6.0
Castro,Julián Castro,1.0
Gillibrand,Kirsten E. Gillibrand,1.0
Hickenlooper,John Hickenlooper,1.0
Klobuchar,Amy Klobuchar,1.0
Yang,Andrew Yang,1.0
McAuliffe,Terry R. McAuliffe,0.0
Bennet,Michael F. Bennet,0.0
Delaney,John K. Delaney,0.0
Gabbard,Tulsi Gabbard,0.0
Inslee,Jay Robert Inslee,0.0
Swalwell,Eric Swalwell,0.0
Williamson,Marianne Williamson,0.0
Sanders,Bernard Sanders,24.0
O'Rourke,Beto O'Rourke,16.0
Harris,Kamala D. Harris,15.0
Booker,Cory A. Booker,12.0
Buttigieg,Pete Buttigieg,12.0
Warren,Elizabeth Warren,11.0
Klobuchar,Amy Klobuchar,2.0
Castro,Julián Castro,2.0
Hickenlooper,John Hickenlooper,2.0
Gillibrand,Kirsten E. Gillibrand,2.0
Yang,Andrew Yang,1.0
Messam,Wayne Messam,1.0
Inslee,Jay Robert Inslee,1.0
Delaney,John K. Delaney,1.0
Gabbard,Tulsi Gabbard,0.0
Williamson,Marianne Williamson,0.0
