answer,candidate,pct
Biden,Joseph R. Biden Jr.,30.0
Sanders,Bernard Sanders,14.0
O'Rourke,Beto O'Rourke,9.0
Booker,Cory A. Booker,5.0
Harris,Kamala D. Harris,4.0
Kerry,John Kerry,4.0
Warren,Elizabeth Warren,3.0
Bloomberg,Michael Bloomberg,3.0
Klobuchar,Amy Klobuchar,3.0
Holder,Eric H. Holder,1.0
Gillibrand,Kirsten E. Gillibrand,1.0
Bullock,Steve Bullock,1.0
Brown,Sherrod Brown,1.0
Inslee,Jay Robert Inslee,1.0
McAuliffe,Terry R. McAuliffe,1.0
Garcetti,Eric Garcetti,0.0
Castro,Julián Castro,0.0
Hickenlooper,John Hickenlooper,0.0
Delaney,John K. Delaney,0.0
Steyer,Tom Steyer,0.0
Biden,Joseph R. Biden Jr.,33.0
Sanders,Bernard Sanders,14.0
O'Rourke,Beto O'Rourke,9.0
Booker,Cory A. Booker,6.0
Harris,Kamala D. Harris,4.0
Kerry,John Kerry,3.0
Warren,Elizabeth Warren,4.0
Bloomberg,Michael Bloomberg,2.0
Klobuchar,Amy Klobuchar,3.0
Holder,Eric H. Holder,1.0
Gillibrand,Kirsten E. Gillibrand,1.0
Bullock,Steve Bullock,1.0
Brown,Sherrod Brown,2.0
Inslee,Jay Robert Inslee,1.0
McAuliffe,Terry R. McAuliffe,1.0
Garcetti,Eric Garcetti,0.0
Castro,Julián Castro,0.0
Hickenlooper,John Hickenlooper,0.0
Delaney,John K. Delaney,0.0
Steyer,Tom Steyer,0.0
